date,storeCode,store,divisionCode,division,totalPrice
20230814,2,Kumamoto,2,味噌,610
20230925,6,Kagoshima,4,油,436
20231027,6,Kagoshima,4,油,938
20230907,1,Saga,0,米,961
20231018,0,Fukuoka,2,味噌,997
20230928,1,Saga,0,米,426
20230820,1,Saga,2,味噌,687
20231002,6,Kagoshima,3,肉,375
20230813,3,Oita,4,油,716
20230908,5,Nagasaki,0,米,573
20231003,1,Saga,0,米,948
20231029,2,Kumamoto,4,油,707
20230905,1,Saga,5,野菜,755
20231017,2,Kumamoto,4,油,601
20230828,0,Fukuoka,1,卵,740
20230812,6,Kagoshima,3,肉,895
20230822,0,Fukuoka,3,肉,449
20231023,4,Miyazaki,4,油,679
20230901,3,Oita,4,油,439
20230821,5,Nagasaki,3,肉,340
20230929,2,Kumamoto,2,味噌,963
20230904,5,Nagasaki,1,卵,326
20230902,4,Miyazaki,5,野菜,655
20230801,1,Saga,0,米,620
20230819,2,Kumamoto,4,油,596
20230819,0,Fukuoka,5,野菜,826
20231026,5,Nagasaki,3,肉,604
20230916,3,Oita,5,野菜,981
20231031,6,Kagoshima,2,味噌,475
20230921,1,Saga,0,米,934
20231005,4,Miyazaki,0,米,689
20230811,5,Nagasaki,4,油,617
20230927,4,Miyazaki,2,味噌,624
20230919,1,Saga,5,野菜,910
20231015,3,Oita,2,味噌,835
20231028,5,Nagasaki,2,味噌,354
20230813,1,Saga,3,肉,644
20230804,1,Saga,5,野菜,598
20230919,1,Saga,1,卵,388
20230827,5,Nagasaki,1,卵,353
20231014,3,Oita,3,肉,553
20230810,2,Kumamoto,2,味噌,479
20230824,6,Kagoshima,2,味噌,868
20230908,0,Fukuoka,1,卵,938
20230919,5,Nagasaki,2,味噌,796
20231030,3,Oita,0,米,734
20231015,2,Kumamoto,3,肉,699
20231023,5,Nagasaki,5,野菜,460
20230915,0,Fukuoka,1,卵,775
20230807,6,Kagoshima,3,肉,584
20230802,1,Saga,2,味噌,723
20230829,2,Kumamoto,5,野菜,708
20230828,4,Miyazaki,4,油,495
20230907,6,Kagoshima,3,肉,473
20230812,0,Fukuoka,0,米,652
20230901,4,Miyazaki,5,野菜,392
20230819,1,Saga,5,野菜,615
20231007,2,Kumamoto,2,味噌,478
20230802,4,Miyazaki,2,味噌,693
20230817,4,Miyazaki,2,味噌,555
20231002,3,Oita,1,卵,929
20230815,2,Kumamoto,2,味噌,320
20230818,1,Saga,0,米,800
20231014,6,Kagoshima,4,油,564
20230831,0,Fukuoka,2,味噌,932
20231015,6,Kagoshima,4,油,868
20230929,3,Oita,4,油,537
20230805,4,Miyazaki,4,油,841
20230927,6,Kagoshima,2,味噌,961
20231026,4,Miyazaki,5,野菜,542
20230922,2,Kumamoto,3,肉,943
20230830,1,Saga,0,米,465
20230928,4,Miyazaki,1,卵,390
20230802,2,Kumamoto,0,米,532
20230816,5,Nagasaki,0,米,445
20231012,4,Miyazaki,0,米,596
20230920,0,Fukuoka,0,米,637
20231005,0,Fukuoka,0,米,827
20230906,0,Fukuoka,2,味噌,696
20231016,2,Kumamoto,1,卵,612
20230928,6,Kagoshima,5,野菜,909
20230813,0,Fukuoka,0,米,420
20231029,1,Saga,1,卵,632
20230930,0,Fukuoka,1,卵,474
20231007,1,Saga,2,味噌,395
20230812,0,Fukuoka,2,味噌,301
20231013,3,Oita,5,野菜,833
20231023,3,Oita,2,味噌,398
20230822,0,Fukuoka,2,味噌,765
20230926,6,Kagoshima,4,油,884
20231025,3,Oita,5,野菜,334
20231012,0,Fukuoka,4,油,983
20231002,5,Nagasaki,2,味噌,614
20231021,0,Fukuoka,3,肉,365
20231007,2,Kumamoto,5,野菜,496
20231006,2,Kumamoto,3,肉,726
20230921,2,Kumamoto,5,野菜,741
20231006,3,Oita,0,米,631
20230922,0,Fukuoka,1,卵,503
20230803,5,Nagasaki,2,味噌,876
20231004,0,Fukuoka,5,野菜,434
20231027,0,Fukuoka,1,卵,765
20230814,5,Nagasaki,4,油,389
20230916,5,Nagasaki,2,味噌,668
20230820,5,Nagasaki,1,卵,751
20230908,3,Oita,4,油,377
20231004,2,Kumamoto,2,味噌,705
20231023,1,Saga,0,米,579
20231012,5,Nagasaki,2,味噌,315
20230831,2,Kumamoto,2,味噌,447
20231031,0,Fukuoka,4,油,724
20230826,5,Nagasaki,3,肉,324
20230902,3,Oita,2,味噌,457
20230814,2,Kumamoto,2,味噌,681
20230812,4,Miyazaki,5,野菜,652
20230801,6,Kagoshima,3,肉,449
20230924,3,Oita,5,野菜,400
20230807,5,Nagasaki,0,米,693
20231026,6,Kagoshima,0,米,358
20230923,3,Oita,4,油,766
20230906,0,Fukuoka,4,油,633
20231022,6,Kagoshima,0,米,610
20230819,1,Saga,0,米,916
20231009,0,Fukuoka,3,肉,873
20231008,1,Saga,5,野菜,460
20230918,5,Nagasaki,3,肉,518
20231001,4,Miyazaki,2,味噌,333
20230918,3,Oita,2,味噌,630
20231015,2,Kumamoto,0,米,693
20230914,0,Fukuoka,1,卵,316
20230907,5,Nagasaki,3,肉,615
20231029,3,Oita,2,味噌,765
20231020,3,Oita,1,卵,495
20230809,3,Oita,5,野菜,337
20230811,0,Fukuoka,5,野菜,958
20230911,6,Kagoshima,1,卵,881
20230930,5,Nagasaki,3,肉,523
20230923,4,Miyazaki,0,米,305
20230929,5,Nagasaki,1,卵,583
20231006,6,Kagoshima,0,米,872
20231023,6,Kagoshima,0,米,465
20230815,0,Fukuoka,0,米,323
20231016,1,Saga,5,野菜,799
20230830,2,Kumamoto,1,卵,617
20230920,3,Oita,0,米,437
20231030,5,Nagasaki,4,油,936
20230828,6,Kagoshima,2,味噌,481
20230818,6,Kagoshima,4,油,309
20230828,0,Fukuoka,0,米,335
20230924,2,Kumamoto,5,野菜,722
20230811,2,Kumamoto,2,味噌,733
20230915,0,Fukuoka,5,野菜,787
20230815,5,Nagasaki,3,肉,898
20231018,0,Fukuoka,5,野菜,974
20231004,5,Nagasaki,0,米,618
20230916,5,Nagasaki,0,米,638
20230808,1,Saga,1,卵,967
20230921,1,Saga,5,野菜,546
20230914,0,Fukuoka,1,卵,446
20230820,4,Miyazaki,4,油,939
20230928,4,Miyazaki,5,野菜,893
20230816,3,Oita,0,米,633
20230913,0,Fukuoka,4,油,612
20231010,5,Nagasaki,2,味噌,785
20230917,4,Miyazaki,3,肉,606
20230928,1,Saga,5,野菜,687
20231027,3,Oita,1,卵,959
20231008,4,Miyazaki,3,肉,822
20230810,0,Fukuoka,1,卵,818
20230825,0,Fukuoka,0,米,877
20230925,6,Kagoshima,0,米,904
20230904,0,Fukuoka,0,米,438
